"author","date","text"
"김재환","7개월 전","웨이팅을 위한 웨이팅 시간이 꽤 됐어요. 웨이팅은 한 15분 내에 끝낸듯. 카운터 직원은 완전 불친절했어요. 이름 들이대면서 들이받아야 겨우 응대해주는 정도... 담당 서버는 친절했어요. 덕분에"
"BORAM NAMGOONG","1년 전","치즈케이크 팩토리에서 언급하신 메뉴들에 대해 자세히 알려드리겠습니다. 1. 루이지애나 치킨 파스타 (Louisiana Chicken Pasta)…"
"hyunjun kim","1년 전","가볍게 들어갔다가 배가 고파서 식사까지 하고 왔어요. 양도 정말 많고 미국음식이 제 입에는 짠 편이라 싱겁게 해달라고 하니 그래도 덜 짜게 나와서 맛있게 먹었어요. 디저트 먹으러 갔다가 예상치 못하게 식사가 무척 맛있었어요."
"Mariebelle","1년 전","늘 사람들이 줄을 많이 서 있어서 궁금했는데, 오늘 가보니 알 것 같아요. 맛도 좋고, 가격도 상대적으로 좋은 것 같아요. 건강식, 다이어트에 도움되는 메뉴도 있고, 당연히 살찌는 고칼로리 치즈케이크도 있구요. 메뉴가 다양해서 좋고, 친절해서 좋았어ㅛ."
"치즈","10개월 전","치즈케이크는 워낙 유명하고, 식사류를 주문하는 것도 괜찮았습니다. 한 자리에서 음식과 디저트를 모두 즐길 수 있다는 점이 좋았습니다. 테라스 자리를 안내받아 그로브몰 풍경을 보며 식사할 수 있었는데, 매우 인상 깊은 경험이었습니다."
"Janice","2년 전","혼자 식사를 했음에도 웨이터의 배려로 덜 시끄러운 자리에서 편안하게 즐거운 식사를 이어갈 수 있었습니다. 특히나 루이지애나 치킨 파스타의 치킨은 적당히 짜고 시즈닝이 잘 베어있어서 너무나 맛나게 먹었네요. 디저트로 먹은 코코넛 치즈 케이크도 아주 크리미하고 코코넛 특유의 향과 맛이 깊게 들어가 있어서 추천하고 싶습니다!"
"ParkPark","2년 전","12.16.23 초보 웨이터 로 인해…"
"강준석","9개월 전","주차는 grove 는 1시간에 5달러, 옆에 파머스마켓은 15분에 3.5달러입니다 음식은 양조절 실패해서 남긴거"
"naomi","8년 전","일반적인 파스타와 스테이크 맛이지만 분위기가 좋고 서빙하는 직원들이 매우 친절하고 자상했다. 음식의 재료가 신선한 느낌이고 양도 매우 많았다. 남은 음식을"
"Lina Joo","4년 전","샌프란시스코는 비많이 온다고들었는데 날씨가 좋아서 밖에서 먹음. 다른 음식 레스토랑과 비슷함. 평범하였는데 스테끼는 미디엄말고 미디엄레어가 먹어 보고싶어졌음. 샐러드도 맛있었고 파스타도 괜찮았는데 치즈케익이 맛있었음(별추가)…"
"Zoey Kim","5년 전","가성비 패밀리레스토랑 저녁시간에는 대기가 길기 때문에 예약을 추천 (예약을 해도 대기가 있음...ㅎㅎ)…"
"mi ran sang","4년 전","잠발라야 파스타 그냥 그래요...직원한테 치즈 케익 추천 받아서 먹었는데 무지하게 느끼하고 다네요ㅋㅋㅋ 부드러운 치즈 케익 맛이예요. 딸기는 아주 시어요. 깜놀. 직원분 엄청 친절합니다."
"YennaPPa (Luscious.K)","6년 전","#기대를 말자! 현재 미국 패밀리 레스토랑 중에 가장 유명한 곳 중에 하나가 일 것 같습니다…"
"Korean Pig","4년 전","저는 원래 치즈케익팩토리를 좋아하는데요 이 지점은 그렇게 맛있진 않았어요. 사실 체인점 특성상 요리 퀄리티가 다 비슷하지만 유독 여기는 신선하고 따뜻하고 맛있는 맛이라기 보단 그냥 잘 조리된 맛. 그리고 정말 지점이 큰데 그만큼 사람을 벌떼처럼 집어넣어요. 좋은 자리가 걸린다면 뷰도 좋고 먹을만할 것 같은데 정말 답답하고 어두운 실내에 사람을 넣을 수 있는 만큼 넣어놔서 시끄럽고 먹고 나오먄 왠지 진이 빠지는 느낌이었어요 ㅠㅠ"
